DRX000675	Illmina mRNA-seq analysis for leaf of Sorghum bicolor (L.) Moench BTx623 under 0.01% Tween-20 treatment.	rep1 	leaf_ under_0.01%_Tween-20 treatment	leaf 	0.01%_Tween-20 treatment	7-8 leaf stage	DRR001053
DRX000676	Illmina mRNA-seq analysis for leaf of Sorghum bicolor (L.) Moench BTx623 infected by Bipolaris sorghicola.	rep1 	leaf_ infected_by_ Bipolaris_ sorghicola	leaf 	infected_by_ Bipolaris_ sorghicola	7-8 leaf stage	DRR001054
DRX000676	Illmina mRNA-seq analysis for leaf of Sorghum bicolor (L.) Moench BTx623 infected by Bipolaris sorghicola.	rep1 	leaf_ infected_by_ Bipolaris_ sorghicola	leaf 	infected_by_ Bipolaris_ sorghicola	7-8 leaf stage	DRR001055
DRX005587	Control 0 h	rep1 	leaf infected by Bipolaris sorghicola control0h	leaf 	infected_by_ Bipolaris_ sorghicola control 0h 	NA	DRR006369
DRX005588	Control 12 h	rep1 	leaf infected by Bipolaris sorghicola control12h	leaf 	infected_by_ Bipolaris_ sorghicola control 12h 	NA	DRR006370
DRX005589	Infected 12 h	rep1 	leaf infected by Bipolaris sorghicola infected12h	leaf 	infected_by_ Bipolaris_ sorghicola infected 12h	NA	DRR006371
DRX005590	Control 24 h	rep1 	leaf infected by Bipolaris sorghicola control24h	leaf 	infected_by_ Bipolaris_ sorghicola control 24h 	NA	DRR006372
DRX005591	Infected 24 h	rep1 	leaf infected by Bipolaris sorghicola infected24h	leaf 	infected_by_ Bipolaris_ sorghicola infected 24h	NA	DRR006373
DRX013472	Nakei Control	rep1 	leaf color variation control 	leaf 	control	NA	DRR014978
DRX013473	Nakei Cut-stress	rep1 	leaf color variation cut-stress	leaf 	cut stress	NA	DRR014979
DRX013474	#96 Control	rep1 	leaf color variation control#96	leaf 	control	NA	DRR014980
DRX013475	#96 Cut-stress	rep1 	leaf color variation cut-stress#96	leaf 	cut stress	NA	DRR014981
DRX013476	#62 Control	rep1 	leaf color variation control#62	leaf 	control	NA	DRR014982
